,CID,TTDDemd
0,2237,0.0251984000206
1,2239,0.0721435025334
2,2240,0.144287005067
3,7357,0.0549946986139
4,7359,0.12040899694
5,10228,0.186502993107
6,10230,0.215746998787
7,10232,0.626855015755
8,10233,0.312902987003
9,10237,0.561344981194
10,10238,0.614148020744
11,10239,2.22631001472
12,10258,0.681509017944
13,10259,0.397478997707
14,10260,0.154544994235
15,10261,0.387849003077
16,17139,0.871906995773
17,23948,1.39218997955
18,30951,2.49268007278
19,30952,6.67223978043
20,30953,1.10134994984
21,30954,0.18263399601
22,30958,0.283345997334
23,30959,0.359975010157
24,38648,0.652980983257
25,38649,0.13754799962
26,38650,0.23250900209
27,38658,1.92639994621
28,46130,0.255147993565
29,46131,0.0441590994596
30,46132,0.665934979916
31,46134,0.00685814023018
32,46136,2.48238992691
33,59647,0.546627998352
34,59648,4.06950998306
