,CID,TTDDemd
0,507,0.0775699019432
1,1046,0.290194004774
2,1047,0.349063009024
3,1638,0.145097002387
4,1705,0.0690601021051
5,4136,0.0675972029567
6,10642,0.484382003546
7,10643,0.0770741999149
8,10789,0.739125013351
9,10790,0.295464992523
10,11110,0.208323001862
11,11111,0.0694409012794
12,11206,0.0809037983418
13,11207,0.0809037983418
14,11209,0.889941990376
15,11909,0.554880976677
16,12014,1.02285003662
17,12015,0.42735299468
18,12282,0.661846995354
19,12283,0.722015023232
20,12284,0.300839990377
21,12285,0.361007988453
22,12286,0.300839990377
23,12287,1.56437003613
24,17695,0.118712998927
25,17696,0.999768972397
26,17697,0.225319996476
27,17698,0.0638443008065
28,17699,0.127689003944
29,17700,0.269026994705
30,17701,0.244109004736
31,17702,0.0638443008065
32,17703,0.180741995573
33,17707,0.138881996274
34,17717,0.524155020714
35,17721,0.026419300586
36,17722,0.130721002817
37,17723,0.0435735993087
38,17724,0.108934000134
39,17725,0.0435735993087
40,17726,0.0435735993087
41,17727,0.052838601172
42,17729,0.19342200458
43,18743,0.185574993491
44,18932,0.1525080055
45,18933,0.130721002817
46,19393,0.180503994226
47,24065,0.0380818992853
48,24460,0.215911999345
49,24461,0.19342200458
50,24462,0.0483555011451
51,24466,0.137925997376
52,24467,0.0828202962875
53,24468,0.496921986341
54,25602,0.0671423003078
55,25603,0.146816000342
56,25606,0.06872600317
57,25607,0.206177994609
58,25608,0.149203002453
59,25609,0.074601598084
60,25926,0.201692000031
61,26441,0.181746006012
62,30245,0.881492972374
63,30246,0.345658987761
64,30247,0.231951996684
65,30248,0.0493799000978
66,30249,0.231951996684
67,32244,0.155139997602
68,32755,0.0773816034198
69,32756,0.0773816034198
70,32757,0.232144996524
71,32758,0.0862596035004
72,32906,0.0435735993087
73,32907,0.108934000134
74,32908,0.0871471986175
75,33282,0.186140999198
76,33283,0.0930707007647
77,33284,0.0930707007647
78,33350,0.0694409012794
79,33673,0.361007988453
80,33674,0.0601679012179
81,37798,0.294142991304
82,39312,0.138576999307
83,39313,0.0671904981136
84,39390,0.615938007832
85,40157,0.184690997005
86,40158,0.0615638010204
87,40323,0.0435735993087
88,40408,0.212688997388
89,40413,0.0779974982142
90,40414,0.0779974982142
91,40415,0.155994996428
92,40416,0.233991995454
93,40716,0.0601679012179
94,40717,0.180503994226
95,46344,0.392161995173
96,46345,0.108934000134
97,46788,0.2231580019
98,46789,0.231223002076
99,46790,0.0633386969566
100,46791,0.0743858963251
101,47320,0.213048994541
102,48074,0.19360999763
103,48402,0.180503994226
104,48406,0.0694409012794
105,54733,0.345037996769
106,54900,0.0871471986175
107,54901,0.108934000134
108,55129,0.0694409012794
109,55324,0.145392000675
110,55351,0.180503994226
111,59910,0.13663700223
112,59911,0.0227054990828
113,60166,0.408021986485
114,60268,0.0694409012794
115,60269,0.414344012737
116,60270,0.0690573975444
117,60271,0.489641010761
118,60272,0.0631588995457
119,60274,0.120336003602
120,60276,0.052838601172
121,60277,0.132097005844
122,60278,0.052838601172
123,60279,0.052838601172
124,60280,0.0792580023408
125,60685,0.371574997902
126,61116,0.0
127,61298,0.239655002952
128,61630,0.0694409012794
129,61833,0.111207999289
